2022-10-30-11032400:0.071;0.696;2.272;-0.067;0.091;0.218;0.995;0.054;0.083;0.000;-7.099;0.020;1.308;0.03154;-0.132
2022-10-30-11032400:0.066;0.703;2.289;-0.068;0.092;0.218;0.995;0.054;0.083;0.000;-7.101;0.020;1.311;0.03154;-0.132
2022-10-30-11032400:0.061;0.709;2.305;-0.069;0.092;0.220;0.995;0.054;0.083;0.000;-7.103;0.021;1.313;0.03154;-0.132
2022-10-30-11032500:0.069;0.684;2.366;-0.065;0.081;0.230;0.995;0.054;0.083;0.000;-7.105;0.021;1.318;0.03155;-0.131
2022-10-30-11032500:0.064;0.690;2.384;-0.065;0.082;0.230;0.995;0.054;0.083;0.000;-7.106;0.021;1.322;0.03155;-0.131
2022-10-30-11032500:0.059;0.696;2.400;-0.066;0.082;0.231;0.995;0.054;0.083;0.000;-7.107;0.022;1.326;0.03155;-0.131
2022-10-30-11032500:0.054;0.702;2.418;-0.067;0.082;0.231;0.995;0.054;0.083;0.000;-7.108;0.022;1.329;0.03155;-0.131
2022-10-30-11032500:0.049;0.708;2.435;-0.067;0.083;0.231;0.995;0.054;0.083;0.000;-7.109;0.022;1.331;0.03155;-0.131
2022-10-30-11032500:0.044;0.714;2.452;-0.068;0.083;0.232;0.995;0.054;0.083;0.000;-7.110;0.022;1.334;0.03155;-0.131
2022-10-30-11032500:0.037;0.722;2.475;-0.070;0.082;0.232;0.995;0.054;0.083;0.000;-7.112;0.022;1.337;0.03155;-0.130
2022-10-30-11032500:0.032;0.729;2.493;-0.071;0.083;0.231;0.995;0.054;0.083;0.000;-7.113;0.022;1.338;0.03155;-0.130
2022-10-30-11032500:0.026;0.735;2.510;-0.072;0.083;0.232;0.995;0.054;0.083;0.000;-7.114;0.022;1.340;0.03155;-0.130
2022-10-30-11032500:0.021;0.741;2.526;-0.073;0.083;0.232;0.995;0.054;0.083;0.000;-7.116;0.022;1.342;0.03155;-0.130
2022-10-30-11032500:0.014;0.749;2.549;-0.076;0.083;0.232;0.995;0.054;0.083;0.000;-7.118;0.022;1.344;0.03156;-0.130
2022-10-30-11032500:0.008;0.755;2.567;-0.076;0.083;0.234;0.995;0.054;0.083;0.000;-7.119;0.022;1.345;0.03156;-0.130
